Algorithm,FNMR.F.AmIndian,FMR.F.AmIndian,FNMR.F.Asian,FMR.F.Asian,FNMR.F.Black,FMR.F.Black,FNMR.F.White,FMR.F.White,FNMR.M.AmIndian,FMR.M.AmIndian,FNMR.M.Asian,FMR.M.Asian,FNMR.M.Black,FMR.M.Black,FNMR.M.White,FMR.M.White
intellicloudai-001,0.0398,0.000501187233627273,0.0256,6.30957344480193e-05,0.0067,1e-04,0.0143,1e-05,0.0238,0.000125892541179417,0.0097,1.58489319246111e-05,0.0036,1e-05,0.01,1e-05
intellifusion-001,0.0085,0.000316227766016838,0.0099,1e-04,0.0036,1e-04,0.0042,5.01187233627273e-05,0.008,0.000125892541179417,0.0047,7.94328234724282e-05,0.0023,3.98107170553497e-05,0.0053,1.99526231496888e-05
intellivision-001,0.1009,0.000501187233627273,0.0795,0.000125892541179417,0.0681,0.000125892541179417,0.0957,1e-05,0.0816,1e-04,0.0615,1.99526231496888e-05,0.0526,1e-05,0.0759,1e-05
intellivision-002,0.076,0.000501187233627273,0.0554,7.94328234724282e-05,0.0351,1e-04,0.0571,1e-05,0.0527,1e-04,0.0302,1.99526231496888e-05,0.0238,1e-05,0.0418,1e-05
intelresearch-000,0.0581,0.000501187233627273,0.0437,7.94328234724282e-05,0.0206,0.000125892541179417,0.0451,2.51188643150958e-05,0.0307,1e-04,0.0163,1.58489319246111e-05,0.0083,1e-05,0.0259,1e-05
intsysmsu-000,0.0362,0.000630957344480193,0.027,3.16227766016838e-05,0.008,6.30957344480193e-05,0.0143,1e-05,0.0243,1e-04,0.0119,1e-05,0.0063,1e-05,0.012,1e-05
iqface-000,0.0226,0.000501187233627273,0.0206,3.98107170553497e-05,0.0055,6.30957344480193e-05,0.0116,1e-05,0.0186,0.000199526231496888,0.0094,1.25892541179417e-05,0.0034,1e-05,0.009,1e-05
isap-001,0.5025,1e-04,0.4133,7.94328234724282e-05,0.3417,0.000630957344480193,0.6053,1e-05,0.457,1.58489319246111e-05,0.3819,1.99526231496888e-05,0.3785,1.99526231496888e-05,0.5498,1e-05
isityou-000,0.6774,6.30957344480193e-05,0.613,3.16227766016838e-05,0.6458,0.000199526231496888,0.736,1.58489319246111e-05,0.6092,3.98107170553497e-05,0.56,2.51188643150958e-05,0.5709,0.000398107170553497,0.6339,1.99526231496888e-05
isystems-001,0.0448,0.000630957344480193,0.0337,3.98107170553497e-05,0.0103,7.94328234724282e-05,0.0183,1e-05,0.0299,7.94328234724282e-05,0.0131,1e-05,0.0064,1e-05,0.0142,1e-05
itmo-006,0.0427,0.000501187233627273,0.0313,2.51188643150958e-05,0.0082,0.000125892541179417,0.0176,1.58489319246111e-05,0.0263,0.000125892541179417,0.0112,1e-05,0.0041,1.58489319246111e-05,0.012,1e-05
kakao-002,0.0626,0.000316227766016838,0.0501,3.98107170553497e-05,0.0304,0.000398107170553497,0.0556,1.25892541179417e-05,0.0387,7.94328234724282e-05,0.0242,1.25892541179417e-05,0.0164,1.58489319246111e-05,0.0341,1e-05
kneron-003,0.0699,0.000501187233627273,0.0528,5.01187233627273e-05,0.0243,7.94328234724282e-05,0.0395,1e-05,0.0431,0.000125892541179417,0.0245,1e-05,0.0152,1e-05,0.0277,1e-05
lookman-002,0.0637,0.000501187233627273,0.0445,2.51188643150958e-05,0.0196,0.000125892541179417,0.0311,1.25892541179417e-05,0.0408,0.000125892541179417,0.0219,1e-05,0.012,2.51188643150958e-05,0.0215,1e-05
lookman-004,0.0554,0.000398107170553497,0.0366,2.51188643150958e-05,0.0093,0.000125892541179417,0.0154,2.51188643150958e-05,0.0351,0.000251188643150958,0.0171,1e-05,0.0078,1e-05,0.0129,1e-05
microfocus-001,0.5011,1e-04,0.4209,7.94328234724282e-05,0.4597,0.000251188643150958,0.5408,1.58489319246111e-05,0.4176,3.16227766016838e-05,0.352,3.16227766016838e-05,0.3224,0.000251188643150958,0.4381,1.99526231496888e-05
microfocus-002,0.3518,0.000125892541179417,0.2759,0.000158489319246111,0.3051,0.000251188643150958,0.3896,1.99526231496888e-05,0.3028,3.16227766016838e-05,0.2395,6.30957344480193e-05,0.2248,0.000158489319246111,0.3255,1e-05
mt-000,0.0227,0.000630957344480193,0.0172,3.98107170553497e-05,0.0051,7.94328234724282e-05,0.0107,1e-05,0.0154,0.000125892541179417,0.0069,1e-05,0.0029,1e-05,0.0082,1e-05
neurotechnology-006,0.0356,0.000630957344480193,0.0267,3.98107170553497e-05,0.0083,5.01187233627273e-05,0.0162,1e-05,0.0219,0.000125892541179417,0.0108,1e-05,0.0045,1e-05,0.0115,1e-05
nodeflux-001,0.6492,7.94328234724282e-05,0.6215,5.01187233627273e-05,0.7006,7.94328234724282e-05,0.7093,3.16227766016838e-05,0.6569,0.000158489319246111,0.6172,0.000158489319246111,0.7067,0.000158489319246111,0.6904,1e-04
nodeflux-002,0.0537,0.000630957344480193,0.0346,3.16227766016838e-05,0.0195,7.94328234724282e-05,0.0295,1e-05,0.0349,1e-04,0.0169,1e-05,0.0124,1e-05,0.0199,1e-05
ntechlab-006,0.0188,0.000398107170553497,0.0112,7.94328234724282e-05,0.0044,6.30957344480193e-05,0.0084,1.99526231496888e-05,0.0125,0.000199526231496888,0.0051,3.98107170553497e-05,0.0024,2.51188643150958e-05,0.0068,1e-05
ntechlab-007,0.0174,0.000398107170553497,0.0131,3.16227766016838e-05,0.0037,7.94328234724282e-05,0.0075,1.25892541179417e-05,0.0118,0.000251188643150958,0.0056,1.99526231496888e-05,0.0023,1.99526231496888e-05,0.0064,1e-05
pittpatt-000,0.6558,1e-05,0.6088,1e-05,0.6347,7.94328234724282e-05,0.7136,1e-05,0.5657,1.99526231496888e-05,0.5169,1e-05,0.5053,0.000630957344480193,0.5968,1.58489319246111e-05
pixelall-002,0.0417,0.000501187233627273,0.0308,6.30957344480193e-05,0.0084,1e-04,0.0169,1e-05,0.0281,0.000125892541179417,0.0115,1e-05,0.0046,1e-05,0.0124,1e-05
psl-002,0.0242,0.000501187233627273,0.0208,5.01187233627273e-05,0.0063,1e-04,0.011,1e-04,0.0183,0.000125892541179417,0.0105,1e-05,0.0047,1e-05,0.0097,1e-05
